ID No,Prog Code,Gender,YoG,CGPA,CGPA100,CGPA200,CGPA300,CGPA400,SGPA,CGPA_Binned,Cluster,Cluster_Optimized,PC1,PC2
65831.0,0,0,2013.0,3.33,3.31,3.19,3.23,3.58,2.92,1,2,2,-0.5264810436289825,0.5871950317871653
62549.0,0,0,2013.0,4.75,4.79,4.65,4.71,4.85,3.96,0,1,1,3.9481781446672004,0.28232209256921104
66742.0,0,0,2013.0,2.43,2.6,2.47,2.26,2.38,2.08,1,0,0,-3.407412208710655,0.8298948956000672
60254.0,0,0,2013.0,3.98,4.17,3.91,3.48,4.23,3.26,0,1,1,1.4260832668333852,0.5388140464584825
89412.0,0,0,2013.0,3.8,4.08,3.43,3.55,4.08,2.92,0,2,2,0.8031945951934983,0.46221756023214416
76310.0,0,0,2013.0,2.88,2.92,3.08,3.23,2.44,2.89,1,0,0,-1.7402199948824404,0.31081466046246076
65128.0,0,0,2013.0,3.87,4.06,3.72,3.65,3.97,3.13,0,2,2,1.078156499269669,0.5611958129830213
39732.0,0,0,2013.0,4.3,4.25,4.28,4.16,4.51,3.54,0,1,1,2.5020052925884224,0.6770916192692562
70319.0,0,0,2013.0,3.99,3.79,4.06,3.71,4.35,2.5,0,1,1,1.1882460590779598,0.8920392980873723
65473.0,0,0,2013.0,4.13,4.17,4.13,4.0,4.21,2.42,0,1,1,1.5880380533693192,1.021445702397179
61668.0,0,0,2013.0,3.65,3.35,3.59,3.48,4.23,3.38,0,2,2,0.5870502136305826,0.4366612211540751
55446.0,0,1,2013.0,2.63,3.1,2.6,2.84,2.22,2.66,1,0,0,-2.4765167238501147,0.6610704322335865
73235.0,0,1,2013.0,4.11,4.33,4.3,3.39,4.18,2.71,0,1,1,1.5471992646188708,0.6771204143351015
73918.0,0,0,2013.0,3.56,3.56,3.32,3.1,4.14,2.71,0,2,2,0.00036440674203329186,0.6939820214854557
36603.0,0,0,2013.0,4.55,4.65,4.35,4.48,4.74,2.36,0,1,1,2.784164295323393,1.510331907102249
40934.0,0,1,2013.0,3.74,3.85,3.93,2.74,4.11,2.95,0,2,2,0.5336117283694507,0.8096598612571043
62591.0,0,0,2013.0,4.23,3.96,4.22,4.03,4.72,4.38,0,1,1,2.61116442616873,-0.07286955814977643
44387.0,0,0,2013.0,4.15,4.08,4.22,3.84,4.41,4.14,0,1,1,2.277400986422476,0.20888557180394354
25727.0,0,0,2013.0,3.28,3.15,3.65,2.71,3.45,3.54,1,2,2,-0.4870736884742946,0.5067626200830159
33165.0,0,0,2013.0,4.3,4.08,4.43,4.16,4.54,3.82,0,1,1,2.610278313011824,0.5566049494367169
30063.000000000004,0,0,2013.0,4.04,3.73,4.04,3.94,4.51,3.54,0,1,1,1.7753341141694823,0.7513262148410059
26083.0,0,0,2013.0,4.19,3.85,4.06,4.45,4.56,3.68,0,1,1,2.297506912911916,0.78285553508373
45732.0,0,0,2013.0,2.55,1.73,2.4,2.61,3.3,2.57,1,0,0,-3.0185081589159855,0.8993530595057937
80688.0,0,1,2013.0,2.82,2.88,2.89,2.39,3.0,3.83,1,0,0,-1.686408601440274,-0.2994006033005136
62099.0,0,0,2013.0,3.26,3.79,3.18,2.35,3.39,2.42,1,2,2,-1.035545107729752,0.8285779340156658
27055.0,0,0,2013.0,4.33,4.38,4.15,4.32,4.49,2.43,0,1,1,2.177525590930051,1.5226746343451352
76642.0,0,0,2013.0,3.87,3.98,3.61,3.55,4.28,3.19,0,2,2,1.1041066046487813,0.4410273703300451
25569.0,0,0,2013.0,3.19,3.27,3.29,2.65,3.38,1.76,1,2,2,-1.4221276795763664,1.6123477915732731
30867.0,0,0,2013.0,4.25,4.13,4.46,4.23,4.18,2.15,0,1,1,1.8363896280913032,1.5431863867142441
61462.0,0,1,2013.0,3.83,3.73,3.72,3.81,4.07,2.85,0,2,2,0.8873669037346738,0.7830088649625079
31615.0,0,1,2013.0,3.36,3.38,3.35,3.32,3.39,3.23,1,2,2,-0.30844391405213833,0.7407253067628446
35331.0,0,0,2014.0,3.47,3.46,3.33,3.94,3.32,3.13,1,2,2,0.05331334406922203,1.493174417616083
70546.0,0,1,2014.0,3.46,2.83,3.44,4.13,3.66,2.19,1,2,2,-0.34116512193259746,1.6993037761270282
83356.0,0,0,2014.0,3.64,3.98,3.11,3.71,3.76,2.92,0,2,2,0.37934619021551785,1.1933993853128053
89894.0,0,0,2014.0,4.91,4.75,4.98,4.94,4.98,3.54,0,1,1,4.256620248330035,0.9078311987916362
63387.0,0,0,2014.0,3.02,2.73,2.92,3.03,3.34,2.64,1,0,0,-1.550378064868514,1.3832635446310075
95377.0,0,0,2014.0,4.63,4.46,4.78,4.65,4.64,3.36,0,1,1,3.387373917390342,0.8772886490568136
